总文件数: 549
字段: filename	key4	title	time_annotations
bgyl2	半个月亮爬上来||巴哈尔古丽||网易云音乐||新疆民歌经典	半个月亮爬上来	A@0.00; A1@56.00; A2@78.00; A3@85.00; A4@114.00; A5@179.00
bhl11	编花篮||王烁僮||QQ音乐||中国民歌少儿唱第二册	编花篮	A@0.00; A1@51.00; A2@116.00; A3@152.00
bhl12	编花篮||阎维文||QQ音乐||	编花篮	A@0.00; A1@77.00; A2@110.00
bhl13	编花篮||老泥车男声四重唱组||QQ音乐||岁月燃情	编花篮	A@0.00; A1@37.00; A2@81.00
bhl17	编花篮||刘力扬||QQ音乐||劳动号子第9期	编花篮	A@0.00; A1@73.00; A2@129.00; A3@152.00; A4@163.00
bhl18	编花篮||朱婧佳||QQ音乐||中华好民歌第二季第6期	编花篮	A@0.00; A1@38.00; A2@76.00; A3@102.00; A4@133.00; A5@155.00
bhl19	编花篮||新时代合唱团||QQ音乐||民歌中国1	编花篮	A@0.00; A1@53.00; A2@135.00
bhl2	编花篮||信晗||QQ音乐||【必会儿歌】小学人音版五年级下册音乐-正版音频	编花篮	A@0.00; A1@35.00
bhl20	编花篮||陈胤希||QQ音乐||爱情的颜色	编花篮	A@0.00; A1@31.00; A2@129.00; A3@152.00
bhl21	编花篮||北京四兄弟演唱组/黑鸭子演唱组||QQ音乐||情牵四重唱	编花篮	A@0.00; A1@51.00; A2@99.00; A3@127.00
bhl3	编花篮||俞淑琴||QQ音乐||民歌精粹(1)—好歌珍藏	编花篮	A@0.00; A1@49.00; A2@97.00
bhl4	编花篮||彭丽媛||QQ音乐||彭丽媛经典金曲合集	编花篮	A@0.00; A1@46.00; A2@89.00; A3@114.00
bhl6	编花篮||于胜喜||QQ音乐||	编花篮	A@0.00; A1@48.00; A2@92.00; A3@116.00
bhl7	编花篮||李娜/武夫||QQ音乐||城里人·乡下人	编花篮	A@0.00; A1@40.00; A2@82.00; A3@107.00; A4@129.00
bhl8	编花篮||王园园||QQ音乐||编花篮	编花篮	A@0.00; A1@54.00; A2@92.00; A3@117.00
bhl9	编花篮||邓桂萍||QQ音乐||	编花篮	A@0.00; A1@54.00; A2@86.00; A3@115.00
bjd1	斑鸠调||吴碧霞||QQ音乐||中国民歌集粹好花红	斑鸠调	A@0.00; A1@115.00; A2@172.00
bjd11	斑鸠调||蒋雨霏||QQ音乐||中国民歌少儿唱第一册	斑鸠调	A@0.00; A1@75.00; A2@118.00
bjd12	斑鸠调||葛军||QQ音乐||井冈山上太阳花	斑鸠调	A@0.00; A1@67.00; A2@104.00
bjd13	斑鸠调||北京四兄弟演唱组/黑鸭子演唱组||QQ音乐||情牵四重唱	斑鸠调	A@0.00; A1@74.00; A2@129.00
bjd14	斑鸠调||杜美娜||QQ音乐||那人娜歌之民间小调	斑鸠调	A@0.00; A1@82.00; A2@137.00
bjd15	斑鸠调||黎娅||QQ音乐||甜甜乡情	斑鸠调	A@0.00; A1@85.00; A2@133.00
bjd16	斑鸠调||陈田鹤/北京巴洛克室内合唱团||QQ音乐||陈田鹤民歌改编(纪念陈田鹤先生逝世60周年歌剧室内乐专辑1)	斑鸠调	A@0.00; A1@50.00; A2@89.00
bjd17	斑鸠调||丹妮||QQ音乐||摘下满天星	斑鸠调	A@0.00; A1@56.00; A2@118.00
bjd4	斑鸠调||李福山/于文华||QQ音乐||中国民歌经典珍藏版	斑鸠调	A@0.00; A1@78.00; A2@137.00
bjd7	斑鸠调||吴怡||QQ音乐||吴怡翻唱集	斑鸠调	A@0.00; A1@53.00; A2@115.00
bld1	包愣调||吴碧霞||QQ音乐||中国民歌集粹好花红	包愣调	A@0.00; A1@48.00; A2@74.00
by1	高高的白杨||王洛宾||QQ音乐||王洛宾歌曲精选集(演唱篇)	高高的白杨	A@0.00; A1@75.00; A2@151.00
by3	高高的白杨||周灼焱||QQ音乐||	高高的白杨	A@0.00; A1@85.00; A2@157.00
chl1	采红菱||张也/阎维文||QQ音乐||老情歌	采红菱	A@0.00; A1@37.00; A2@86.00; A3@158.00
chl10	采红菱||李玲玉/阎维文||QQ音乐||撒情网	采红菱	A@0.00; A1@37.00; A2@86.00; A3@157.00
chl11	采红菱||张德兰/区瑞强||QQ音乐||张德兰往事只能回味(70年代国语经典精华I)	采红菱	A@0.00; A1@32.00; A2@78.00; A3@145.00
chl12	采红菱||董文华||QQ音乐||董文华演唱歌曲精选200首(10)	采红菱	A@0.00; A1@37.00; A2@107.00
chl13	采红菱||谢采妘||QQ音乐||谢采妘-中国小调01	采红菱	A@0.00; A1@40.00; A2@91.00; A3@165.00
chl14	采红菱||夏丹/江宏||QQ音乐||百代百年系列10采红菱	采红菱	A@0.00; A1@41.00; A2@91.00
chl15	采红菱||朱晓琳||QQ音乐||踏浪	采红菱	A@0.00; A1@35.00; A2@50.00
chl16	采红菱||陆锦花/童怡然||QQ音乐||	采红菱	A@0.00; A1@59.00; A2@112.00
chl17	采红菱||查明舒张藜||QQ音乐||蝴蝶泉边	采红菱	A@0.00; A1@37.00; A2@86.00; A3@157.00
chl2	采红菱||好妹妹乐队||QQ音乐||人间好时节	采红菱	A@0.00; A1@36.00; A2@87.00; A3@166.00
chl22	采红菱||于文华/李福山||QQ音乐||	采红菱	A@0.00; A1@26.00; A2@68.00; A3@108.00
chl23	采红菱||周旋||QQ音乐||采红菱	采红菱	A@0.00; A1@38.00; A2@106.00; A3@152.00
chl24	采红菱||张其萍||QQ音乐||思源	采红菱	A@0.00; A1@47.00; A2@74.00; A3@151.00
chl25	采红菱||陈蓓蓓||QQ音乐||采红菱	采红菱	A@0.00; A1@38.00
chl3	采红菱||韩宝仪/林淑娟||QQ音乐||情歌新唱	采红菱	A@0.00; A1@36.00; A2@90.00; A3@169.00
chl30	采红菱||云中子||QQ音乐||和合集	采红菱	A@0.00; A1@36.00; A2@79.00; A3@136.00
chl32	采红菱||王添翼||QQ音乐||	采红菱	A@0.00; A1@31.00; A2@78.00
chl33	采红菱||孙青/周志刚||QQ音乐||情侣对唱(一)	采红菱	A@0.00; A1@48.00; A2@95.00; A3@167.00
chl34	采红菱||欧俪雯/天翔||QQ音乐||魅力情歌对唱2	采红菱	A@0.00; A1@37.00; A2@83.00; A3@117.00; A4@138.00; A5@183.00
chl36	采红菱||包娜娜/包妮妮||QQ音乐||採红菱(包娜娜妮妮姊妹专集)	采红菱	A@0.00; A1@36.00; A2@92.00; A3@169.00
chl38	采红菱||东方神秘园||QQ音乐||民歌中国	采红菱	A@0.00; A1@43.00; A2@98.00; A3@154.00
chl39	采红菱||江梦蕾/康乔||QQ音乐||男欢女爱情歌展	采红菱	A@0.00; A1@44.00; A2@90.00; A3@161.00
chl4	采红菱||莫文蔚/伍佰/黄品源/李宗盛||QQ音乐||	采红菱	A@0.00; A1@25.00; A2@69.00; A3@152.00
chl40	采红菱||陈宝玲/罗文||QQ音乐||采红菱	采红菱	A@0.00; A1@41.00; A2@92.00; A3@141.00
chl44	采红菱||青山||QQ音乐||国语原声带	采红菱	A@0.00; A1@30.00; A2@74.00; A3@117.00
chl45	采红菱||王思远/易文卉||QQ音乐||	采红菱	A@0.00; A1@41.00; A2@96.00; A3@151.00
chl46	采红菱||湜非||QQ音乐||	采红菱	A@0.00; A1@52.00; A2@118.00; A3@140.00
chl5	采红菱||仝卓||QQ音乐||采红菱	采红菱	A@0.00; A1@39.00; A2@112.00; A3@167.00
chl50	采红菱||谭顺成||QQ音乐||丽风金典系列歌坛好好先生	采红菱	A@0.00; A1@38.00; A2@82.00; A3@127.00
chl51	采红菱||庄学忠||QQ音乐||情歌精选集	采红菱	A@0.00; A1@42.00; A2@99.00; A3@155.00
chl53	采红菱||高小岚||QQ音乐||抒情精粹	采红菱	A@0.00; A1@32.00; A2@75.00; A3@126.00
chl54	采红菱||樱花/凌云||QQ音乐||百代百年系列21：峇厘岛	采红菱	A@0.00; A1@27.00; A2@71.00; A3@116.00
chl55	采红菱||尹相杰/罗宁娜||QQ音乐||红兜兜	采红菱	A@0.00; A1@39.00; A2@55.00; A3@104.00; A4@130.00; A5@147.00
chl57	采红菱||金瑶||QQ音乐||爱江南	采红菱	A@0.00; A1@52.00; A2@139.00; A3@160.00
chl58	采红菱||吴刚/夏惠||QQ音乐||	采红菱	A@0.00; A1@45.00; A2@92.00; A3@164.00
chl59	采红菱||庞飞/刘美华||QQ音乐||庞飞&刘美华,Vol.5:暹罗情歌	采红菱	A@0.00; A1@46.00; A2@94.00; A3@166.00
chl7	采红菱||王美丽||QQ音乐||采红菱(吴语版)	采红菱	A@0.00; A1@39.00; A2@86.00; A3@155.00
chl8	采红菱||黑鸭子演唱组||QQ音乐||风情中国	采红菱	A@0.00; A1@51.00; A2@117.00; A3@139.00
cjzg1	长江之歌||北京市少年宫合唱团||QQ音乐||发烧童声合唱2	长江之歌	A@0.00; A1@75.00; A2@122.00; A3@165.00
cjzg2	长江之歌||关牧村||QQ音乐||K歌单曲合集	长江之歌	A@0.00; A1@62.00; A2@83.00; A3@125.00
cjzg3	长江之歌||殷秀梅||QQ音乐||中国红——60年经典主旋律歌曲精选	长江之歌	A@0.00; A1@57.00; A2@94.00; A3@133.00
cjzg4	长江之歌||殷秀梅/中央歌剧院合唱团||QQ音乐||长江之歌	长江之歌	A@0.00; A1@67.00; A2@89.00; A3@127.00
cjzg5	长江之歌||霍勇||QQ音乐||生死不离	长江之歌	A@0.00; A1@61.00; A2@101.00; A3@142.00
cjzg6	长江之歌||丁毅||QQ音乐||感恩	长江之歌	A@0.00; A1@57.00; A2@94.00; A3@133.00
cydsw11	初一到十五||许岚岚||QQ音乐||秋水伊人	初一到十五	A@0.00; A1@44.00; A2@90.00; A3@108.00; A4@148.00
cydsw12	初一到十五||张小英||QQ音乐||长青贺年金曲	初一到十五	A@0.00; A1@24.00; A2@39.00; A3@75.00; A4@90.00; A5@105.00
cydsw13	初一到十五||张定月||QQ音乐||经典老歌专辑	初一到十五	A@0.00; A1@30.00; A2@52.00; A3@74.00; A4@96.00
cydsw4	初一到十五||卓依婷||QQ音乐||恭贺新禧	初一到十五	A@0.00; A1@49.00; A2@75.00; A3@101.00; A4@126.00; A5@152.00
cydsw6	初一到十五||谢采妘||QQ音乐||谢采妘-中国小调02	初一到十五	A@0.00; A1@60.00; A2@106.00; A3@140.00; A4@173.00; A5@207.00
cydsw9	初一到十五||刘韵||QQ音乐||山前山后百花开	初一到十五	A@0.00; A1@27.00; A2@45.00; A3@86.00; A4@104.00; A5@121.00
cyty1	草原上升起的不落的太阳||乌兰托娅||网易云音乐||阿尔斯楞的眼睛	草原上升起的不落的太阳	A@0.00; A1@107.00; A2@154.00; A3@178.00; A4@214.00
cyty10	草原上升起的不落的太阳||乌英嘎||QQ音乐||中国民歌大会第二季第8期	草原上升起的不落的太阳	A@0.00; A1@74.00; A2@118.00
cyty11	草原上升起的不落的太阳||乌兰托娅||QQ音乐||阿尔斯楞的眼睛	草原上升起的不落的太阳	A@0.00; A1@107.00; A2@144.00; A3@178.00
cyty12	草原上升起的不落的太阳||华语群星||QQ音乐||毛泽东颂歌(演唱版)	草原上升起的不落的太阳	A@0.00; A1@45.00; A2@83.00; A3@106.00
cyty14	草原上升起的不落的太阳||廖昌永||QQ音乐||	草原上升起的不落的太阳	A@0.00; A1@101.00; A2@166.00; A3@197.00
cyty15	草原上升起的不落的太阳||石头||QQ音乐||	草原上升起的不落的太阳	A@0.00; A1@51.00; A2@102.00; A3@128.00
cyty2	草原上升起的不落的太阳||蒋大为||网易云音乐||民歌电影歌曲	草原上升起的不落的太阳	A@0.00; A1@43.00; A2@99.00; A3@125.00
cyty3	草原上升起的不落的太阳||吴雁泽||网易云音乐||红歌经典100首—60年代经典红歌	草原上升起的不落的太阳	A@0.00; A1@82.00; A2@142.00
cyty4	草原上升起的不落的太阳||王宏伟||网易云音乐||用我的心握你的手王宏伟	草原上升起的不落的太阳	A@0.00; A1@52.00; A2@81.00
cyty5	草原上升起的不落的太阳||胡松华||网易云音乐||草原上升起不落的太阳—名人名歌(1)优秀独唱歌曲选	草原上升起的不落的太阳	A@0.00; A1@41.00; A2@79.00
cyty7	草原上升起的不落的太阳||潘晓峰||QQ音乐||寻找玛依拉	草原上升起的不落的太阳	A@0.00; A1@73.00; A2@131.00
cyty8	草原上升起的不落的太阳||戴玉强||QQ音乐||戴玉强红色浪漫经典CD	草原上升起的不落的太阳	A@0.00; A1@43.00; A2@83.00; A3@111.00
cyty9	草原上升起的不落的太阳||萨仁娜||QQ音乐||	草原上升起的不落的太阳	A@0.00; A1@49.00; A2@91.00; A3@119.00
cyxjm1	草原小姐妹||石小倩||网易云音乐||台湾小黄莺	草原小姐妹	A@0.00; A1@49.00; A2@112.00; A3@132.00
ffz1	放风筝||吴碧霞||QQ音乐||中国民歌集粹2绣荷包	放风筝	A@0.00; A1@136.00; A2@194.00
fmsg1	放马山歌||彭丽媛||QQ音乐||彭丽媛经典金曲合集	放马山歌	A@0.00; A1@19.00; A2@36.00; A3@47.00
fmsg10	放马山歌||于淑珍||QQ音乐||民歌精选辑	放马山歌	A@0.00; A1@14.00; A2@23.00; A3@32.00
fmsg11	放马山歌||玖月奇迹||QQ音乐||	放马山歌	A@0.00; A1@13.00; A2@23.00; A3@31.00
fmsg14	放马山歌||江淮安/钟惠州/乐成||QQ音乐||中国民歌荟萃(1)	放马山歌	A@0.00; A1@27.00; A2@42.00; A3@53.00; A4@87.00; A5@97.00
fmsg15	放马山歌||方琼/秋菊||QQ音乐||中国民歌荟萃弥渡山歌(云南)	放马山歌	A@0.00; A1@26.00; A2@42.00; A3@51.00; A4@85.00; A5@95.00
fmsg16	放马山歌||马玉涛||网易云音乐||一根扁担	放马山歌	A@0.00; A1@34.00; A2@51.00; A3@62.00
fmsg18	放马山歌||于淑珍||网易云音乐||民歌精选辑	放马山歌	A@0.00; A1@13.00; A2@24.00; A3@32.00
fmsg2	放马山歌||宋祖英||QQ音乐||维也纳金色大厅独唱音乐会	放马山歌	A@0.00; A1@22.00; A2@43.00; A3@56.00
fmsg20	放马山歌||兰听雪||网易云音乐||茶馆养生古筝纯音乐古筝考级曲古筝曲纯音乐大全古筝独奏轻音乐	放马山歌	A@0.00; A1@23.00; A2@38.00; A3@51.00
fmsg22	放马山歌||江苏省歌舞剧院民族乐队||网易云音乐||中国现代喜庆音乐欢庆年年(第二辑)	放马山歌	A@0.00; A1@19.00; A2@32.00; A3@105.00; A4@112.00
fmsg3	放马山歌||阎维文||QQ音乐||红土情歌	放马山歌	A@0.00; A1@36.00; A2@59.00; A3@74.00
fmsg4	放马山歌||阿幼朵||QQ音乐||天外苗音	放马山歌	A@0.00; A1@111.00; A2@181.00; A3@206.00
fmsg5	放马山歌||高洪章||QQ音乐||中国民歌大会第二季第8期	放马山歌	A@0.00; A1@37.00; A2@54.00; A3@68.00; A4@174.00; A5@188.00
fmsg6	放马山歌||黄虹||QQ音乐||民歌精选辑	放马山歌	A@0.00; A1@31.00; A2@47.00
fmsg7	放马山歌||曾晨||QQ音乐||中国民歌少儿唱第一册	放马山歌	A@0.00; A1@45.00; A2@65.00; A3@74.00; A4@95.00; A5@104.00; A6@126.00
fmsg8	放马山歌||毛一涵||QQ音乐||放马山歌	放马山歌	A@0.00; A1@36.00; A2@59.00; A3@74.00
fmsg9	放马山歌||李谷一||QQ音乐||花儿为什么这样红	放马山歌	A@0.00; A1@31.00; A2@42.00; A3@51.00
gdml1	嘎达梅林||彭丽媛||QQ音乐||源媛流长	嘎达梅林	A@0.00; A1@98.00; A2@138.00; A3@215.00
gdml10	嘎达梅林||甘迪嘎夫||网易云音乐||嘎达梅林(呼麦)	嘎达梅林	A@0.00; A1@92.00; A2@211.00; A3@229.00
gdml2	嘎达梅林||杨洪基||QQ音乐||	嘎达梅林	A@0.00; A1@77.00; A2@113.00
gdml3	嘎达梅林||齐峰||QQ音乐||我和草原有个约定	嘎达梅林	A@0.00; A1@69.00; A2@141.00; A3@185.00
gdml4	嘎达梅林||萨日娜||QQ音乐||萨日娜歌曲	嘎达梅林	A@0.00; A1@105.00; A2@131.00
gdml5	嘎达梅林||霍勇||QQ音乐||我的祖国妈妈	嘎达梅林	A@0.00; A1@46.00; A2@92.00; A3@122.00
gdml6	嘎达梅林||梦之旅合唱组合||QQ音乐||流淌的歌声之真情依旧(十九)	嘎达梅林	A@0.00; A1@53.00; A2@94.00; A3@128.00; A4@191.00; A5@207.00
gdml8	嘎达梅林||桑吉格格||网易云音乐||遥望草原	嘎达梅林	A@0.00; A1@103.00; A2@179.00; A3@216.00
gdml9	嘎达梅林||腾格尔||网易云音乐||蓝天	嘎达梅林	A@0.00; A1@182.00
gt2	掀起你的盖头来||王洛宾||QQ音乐||王洛宾歌曲精选集(演唱篇)	掀起你的盖头来	A@0.00; A1@40.00; A2@70.00; A3@95.00
gt3	掀起你的盖头来||阿力木||QQ音乐||掀起你的盖头来	掀起你的盖头来	A@0.00; A1@56.00; A2@75.00; A3@97.00; A4@135.00; A5@156.00; A6@177.00
gt4	掀起你的盖头来||克里木||QQ音乐||故乡的河	掀起你的盖头来	A@0.00; A1@41.00; A2@61.00; A3@90.00; A4@110.00; A5@128.00
gt5	掀起你的盖头来||斯琴格日乐||QQ音乐||织谣	掀起你的盖头来	A@0.00; A1@62.00; A2@137.00
gt8	掀起你的盖头来||华语群星||QQ音乐||经典民歌对唱	掀起你的盖头来	A@0.00; A1@44.00; A2@91.00; A3@111.00
gt9	掀起你的盖头来||解小东||QQ音乐||中国民族歌曲经典	掀起你的盖头来	A@0.00; A1@59.00; A2@99.00; A3@149.00; A4@192.00
hhldcy1	黄昏里的炊烟||王洛宾||QQ音乐||王洛宾歌曲精选集(演唱篇)	黄昏里的炊烟	A@0.00; A1@44.00; A2@82.00; A3@104.00
hs1	婚誓||张也||QQ音乐||老情歌	婚誓	A@0.00; A1@81.00; A2@131.00; A3@180.00; A4@231.00
hs10	婚誓||黄英/吉杰||QQ音乐||手牵手	婚誓	A@0.00; A1@85.00; A2@135.00; A3@167.00
hs13	婚誓||汤灿||QQ音乐||爱的月光	婚誓	A@0.00; A1@90.00; A2@165.00; A3@203.00
hs14	婚誓||张云馨||QQ音乐||新民歌仙子	婚誓	A@0.00; A1@67.00; A2@125.00; A3@160.00; A4@192.00
hs15	婚誓||董文华||QQ音乐||献给中国电影百年	婚誓	A@0.00; A1@70.00; A2@103.00; A3@146.00; A4@174.00
hs16	婚誓||刘和刚||QQ音乐||男女声二重唱	婚誓	A@0.00; A1@66.00; A2@114.00; A3@189.00; A4@225.00
hs2	婚誓||杨钰莹||QQ音乐||妈妈留给我一首歌	婚誓	A@0.00; A1@59.00; A2@105.00; A3@139.00; A4@171.00
hs20	婚誓||凰逸欣||QQ音乐||天使恋人	婚誓	A@0.00; A1@89.00; A2@159.00; A3@194.00
hs21	婚誓||阿吉太组合||QQ音乐||婚誓	婚誓	A@0.00; A1@84.00; A2@121.00; A3@191.00
hs22	婚誓||陈雅菁/塔斯肯||QQ音乐||婚誓	婚誓	A@0.00; A1@84.00; A2@121.00; A3@193.00
hs23	婚誓||孙丽英/戴玉强||QQ音乐||	婚誓	A@0.00; A1@53.00; A2@104.00; A3@156.00; A4@191.00
hs3	婚誓||宋祖英/沙宝亮||QQ音乐||百年留声再现中国百年电影歌曲经典	婚誓	A@0.00; A1@73.00; A2@107.00; A3@164.00; A4@199.00
hs6	婚誓||宋艳红/李初健||QQ音乐||雷振邦电影歌曲专辑	婚誓	A@0.00; A1@51.00; A2@94.00; A3@129.00; A4@181.00
hs7	婚誓||韩红/孙楠||QQ音乐||红歌②	婚誓	A@0.00; A1@83.00; A2@122.00; A3@193.00
htgp1	黄土高坡||杭天琪||QQ音乐||原唱经典名曲珍藏(10)	黄土高坡	A@0.00; A1@66.00; A2@81.00; A3@127.00
htgp10	黄土高坡||闫丽丽||QQ音乐||黄土高坡	黄土高坡	A@0.00; A1@53.00; A2@69.00; A3@123.00; A4@139.00
htgp11	黄土高坡||井闪闪||QQ音乐||黄土高坡	黄土高坡	A@0.00; A1@53.00; A2@71.00; A3@123.00; A4@141.00
htgp12	黄土高坡||胡月||QQ音乐||世纪歌典(第十二辑)1978-20	黄土高坡	A@0.00; A1@73.00; A2@87.00; A3@135.00; A4@151.00
